date,open,high,low,close,volume,average,barCount
2024-01-19,4875.5,4928.75,4868.5,4925.0,-1.0,-1.0,-1
2024-01-22,4940.5,4953.5,4929.0,4936.25,-1.0,-1.0,-1
2024-01-23,4941.5,4957.25,4929.5,4956.5,-1.0,-1.0,-1
2024-01-24,4979.0,4989.5,4945.25,4957.5,-1.0,-1.0,-1
2024-01-25,4975.0,4982.75,4953.0,4975.0,-1.0,-1.0,-1
2024-01-26,4974.75,4990.5,4964.0,4969.0,-1.0,-1.0,-1
2024-01-29,4975.0,5012.25,4968.75,5006.0,-1.0,-1.0,-1
2024-01-30,5002.0,5013.25,4989.5,4992.0,-1.0,-1.0,-1
2024-01-31,4981.5,4985.75,4920.75,4926.75,-1.0,-1.0,-1
2024-02-01,4937.75,5019.75,4928.5,5015.0,-1.0,-1.0,-1
2024-02-02,4989.25,5054.75,4985.25,5030.0,-1.0,-1.0,-1
2024-02-05,5030.0,5034.75,4994.0,5016.25,-1.0,-1.0,-1
2024-02-06,5027.0,5035.25,5011.5,5029.0,-1.0,-1.0,-1
2024-02-07,5054.75,5077.5,5045.0,5072.75,-1.0,-1.0,-1
2024-02-08,5071.0,5077.75,5062.5,5072.25,-1.0,-1.0,-1
2024-02-09,5078.25,5106.75,5074.25,5100.25,-1.0,-1.0,-1
2024-02-12,5101.25,5125.25,5090.0,5094.25,-1.0,-1.0,-1
2024-02-13,5033.25,5046.25,4994.0,5031.5,-1.0,-1.0,-1
2024-02-14,5055.5,5081.0,5030.75,5076.5,-1.0,-1.0,-1
2024-02-15,5077.5,5110.75,5072.5,5109.5,-1.0,-1.0,-1
2024-02-16,5102.0,5113.75,5072.0,5073.25,-1.0,-1.0,-1
2024-02-20,5060.25,5067.25,5027.25,5048.5,-1.0,-1.0,-1
2024-02-21,5036.25,5079.5,5017.5,5078.5,-1.0,-1.0,-1
2024-02-22,5122.25,5168.5,5112.0,5154.5,-1.0,-1.0,-1
2024-02-23,5175.75,5184.5,5153.5,5156.5,-1.0,-1.0,-1
2024-02-26,5164.75,5169.25,5137.25,5138.25,-1.0,-1.0,-1
2024-02-27,5147.5,5153.75,5127.75,5151.25,-1.0,-1.0,-1
2024-02-28,5133.0,5148.75,5127.75,5130.5,-1.0,-1.0,-1
2024-02-29,5159.0,5176.0,5130.75,5162.0,-1.0,-1.0,-1
2024-03-01,5167.0,5211.25,5162.5,5200.5,-1.0,-1.0,-1
2024-03-04,5197.75,5220.0,5195.25,5196.75,-1.0,-1.0,-1
2024-03-05,5179.25,5184.0,5124.25,5152.75,-1.0,-1.0,-1
2024-03-06,5181.25,5196.5,5159.25,5175.25,-1.0,-1.0,-1
2024-03-07,5205.5,5233.75,5195.75,5220.25,-1.0,-1.0,-1
2024-03-08,5229.0,5257.5,5185.0,5195.75,-1.0,-1.0,-1
2024-03-11,5177.75,5192.0,5157.0,5191.0,-1.0,-1.0,-1
2024-03-12,5206.25,5247.0,5179.75,5239.0,-1.0,-1.0,-1
2024-03-13,5243.5,5246.0,5217.25,5237.75,-1.0,-1.0,-1
2024-03-14,5240.0,5241.5,5188.0,5218.0,-1.0,-1.0,-1
2024-03-15,5186.25,5201.75,5167.75,5183.25,-1.0,-1.0,-1
2024-03-18,5225.75,5240.25,5210.0,5214.5,-1.0,-1.0,-1
2024-03-19,5205.75,5244.75,5195.0,5239.5,-1.0,-1.0,-1
2024-03-20,5241.0,5297.75,5233.0,5296.25,-1.0,-1.0,-1
2024-03-21,5315.0,5322.75,5300.0,5307.5,-1.0,-1.0,-1
2024-03-22,5301.25,5306.0,5287.75,5289.5,-1.0,-1.0,-1
2024-03-25,5276.75,5288.75,5274.25,5280.75,-1.0,-1.0,-1
2024-03-26,5290.0,5294.25,5263.0,5272.5,-1.0,-1.0,-1
2024-03-27,5293.25,5314.0,5270.5,5308.25,-1.0,-1.0,-1
2024-03-28,5309.75,5321.0,5302.0,5304.25,-1.0,-1.0,-1
2024-04-01,5311.75,5317.5,5282.25,5294.0,-1.0,-1.0,-1
2024-04-02,5253.0,5263.25,5235.0,5262.25,-1.0,-1.0,-1
2024-04-03,5248.0,5281.0,5247.0,5269.25,-1.0,-1.0,-1
2024-04-04,5305.5,5308.5,5192.5,5197.25,-1.0,-1.0,-1
2024-04-05,5211.25,5272.5,5206.5,5256.0,-1.0,-1.0,-1
2024-04-08,5258.5,5268.75,5245.25,5257.25,-1.0,-1.0,-1
2024-04-09,5272.0,5274.5,5208.5,5265.5,-1.0,-1.0,-1
2024-04-10,5200.0,5226.5,5185.0,5203.75,-1.0,-1.0,-1
2024-04-11,5218.75,5257.5,5181.75,5243.5,-1.0,-1.0,-1
2024-04-12,5204.25,5218.75,5150.0,5166.75,-1.0,-1.0,-1
2024-04-15,5211.5,5213.25,5094.0,5101.25,-1.0,-1.0,-1
2024-04-16,5107.0,5123.0,5079.0,5094.75,-1.0,-1.0,-1
2024-04-17,5117.75,5119.25,5046.75,5061.5,-1.0,-1.0,-1
2024-04-18,5073.75,5095.25,5038.5,5048.25,-1.0,-1.0,-1
2024-04-19,5047.5,5057.75,4991.0,5003.5,-1.0,-1.0,-1
2024-04-22,5030.5,5077.0,5006.0,5049.25,-1.0,-1.0,-1
2024-04-23,5069.5,5113.75,5063.75,5112.25,-1.0,-1.0,-1
2024-04-24,5116.75,5124.75,5072.25,5079.5,-1.0,-1.0,-1
